City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,cabo san lucas,22.8909,-109.9124,20.28,46,49,0.77,MX,1675914835
84,ostrovnoy,68.0531,39.5131,0.16,85,100,17.88,RU,1675914836
85,cape town,-33.9258,18.4232,21.32,72,0,2.57,ZA,1675914836
86,baghdad,33.3406,44.4009,3.95,100,0,1.03,IQ,1675914805
87,geraldton,-28.7667,114.6,30.23,45,0,6.69,AU,1675914836
88,severo-kurilsk,50.6789,156.125,-4.79,56,87,9.83,RU,1675914837
89,henderson,36.0397,-114.9819,14.51,32,0,2.06,US,1675914746
90,upernavik,72.7868,-56.1549,-34.6,84,2,3.81,GL,1675914837
91,zhovti vody,48.3473,33.5003,-9.1,89,5,2.9,UA,1675914837
92,quatre cocos,-20.2078,57.7625,27.27,80,38,6.1,MU,1675914838
93,kalach-na-donu,48.691,43.5264,-14.71,95,59,1.51,RU,1675914838
94,andenes,69.3143,16.1194,-0.01,93,100,0.51,NO,1675914838
95,bonavista,48.6499,-53.1147,-2.95,86,100,7.17,CA,1675914838
96,san andres,12.5847,-81.7006,27.01,74,40,6.17,CO,1675914694
97,torbay,47.6666,-52.7314,-1.45,96,100,6.69,CA,1675914839
98,kidal,18.4411,1.4078,22.11,15,0,4.27,ML,1675914839
99,umm kaddadah,13.6017,26.6876,13.33,19,89,6.61,SD,1675914839
100,the pas,53.8251,-101.2541,-10.99,67,0,5.66,CA,1675914840
101,rawson,-43.3002,-65.1023,21.34,51,71,11.78,AR,1675914840
102,hermanus,-34.4187,19.2345,19.89,83,76,5.1,ZA,1675914840
103,katsuura,35.1333,140.3,8.76,38,79,4.33,JP,1675914840
104,schiffdorf,53.5333,8.65,-0.91,62,94,5.43,DE,1675914841
105,husavik,66.0449,-17.3389,-5.1,93,52,7.62,IS,1675914841
106,kuala terengganu,5.3302,103.1408,29.99,74,40,1.03,MY,1675914842
107,dwarka,22.2394,68.9678,22.48,61,19,1.87,IN,1675914842
108,barisal,22.7019,90.3711,25.79,52,1,1.61,BD,1675914834
109,stillwater,36.1156,-97.0584,2.16,93,100,6.17,US,1675914844
110,tuatapere,-46.1333,167.6833,13.96,57,79,4.99,NZ,1675914844
111,wilmington,34.2257,-77.9447,13.95,81,0,0.0,US,1675914790
112,ronda,36.7423,-5.1671,6.99,96,73,3.67,ES,1675914845
113,seoul,37.5683,126.9778,6.78,29,0,3.6,KR,1675914737
114,port blair,11.6667,92.75,28.02,69,40,5.14,IN,1675914846
115,esperance,-33.8667,121.9,21.02,64,29,5.89,AU,1675914846
116,mantua,45.1667,10.7833,1.58,62,5,2.24,IT,1675914847
117,oranjemund,-28.55,16.4333,16.96,96,32,1.34,NA,1675914847
118,adrar,20.5022,-10.0711,19.11,16,97,3.31,MR,1675914848
119,kusa,55.3383,59.4406,-15.82,99,100,1.46,RU,1675914849
120,manta,-0.95,-80.7333,26.88,83,75,2.57,EC,1675914850
121,constitucion,-35.3333,-72.4167,15.83,73,12,4.81,CL,1675914719
122,manicore,-5.8092,-61.3003,24.97,94,0,1.03,BR,1675914851
123,puerto baquerizo moreno,-0.9,-89.6,25.46,82,74,1.45,EC,1675914851
124,lompoc,34.6391,-120.4579,13.11,81,0,4.12,US,1675914852
125,olafsvik,64.8945,-23.7142,-4.43,60,100,9.69,IS,1675914781
126,peterhead,57.5058,-1.7981,3.15,69,6,10.45,GB,1675914853
